population,year
127026.00,1700
140413.00,1725
155212.00,1750
198344.00,1775
255000.00,1800
255293.00,1805
255587.00,1810
255880.00,1815
256175.00,1820
256469.00,1825
256764.00,1830
257000.00,1834
270348.00,1840
282000.00,1845
283496.00,1850
285000.00,1855
292366.00,1860
135634.20,1861
148457.00,1866
191307.10,1871
303415.00,1872
306000.00,1871
300963.00,1875
201888.10,1881
250155.00,1881
293562.00,1881
288730.00,1885
282801.00,1890
276994.00,1895
295215.00,1901
271306.00,1900
270183.00,1901
269064.00,1902
267950.00,1903
266840.00,1904
265735.00,1905
264635.00,1906
263539.00,1907
262447.00,1908
261361.00,1909
260278.00,1910
259201.00,1911
258127.00,1912
257058.00,1913
255994.00,1914
254934.00,1915
253878.00,1916
252827.00,1917
251780.00,1918
250737.00,1919
249699.00,1920
251441.00,1921
254963.00,1922
257637.00,1923
260339.00,1924
263071.00,1925
265831.00,1926
268621.00,1927
271442.00,1928
274293.00,1929
277175.00,1930
279115.00,1931
284102.00,1932
287902.00,1933
291753.00,1934
295666.00,1935
299614.00,1936
303626.00,1937
307694.00,1938
311820.00,1939
316004.00,1940
318826.00,1941
324180.00,1942
328255.00,1943
332332.00,1944
336562.00,1945
340796.00,1946
345085.00,1947
349430.00,1948
353832.00,1949
350445.00,1950
363211.00,1951
369231.00,1952
375633.00,1953
382438.00,1954
395096.00,1955
397334.00,1956
405450.00,1957
414021.00,1958
423053.00,1959
431463.00,1960
438800.00,1961
452378.00,1962
462196.00,1963
472305.00,1964
482706.00,1965
493389.00,1966
504345.00,1967
515601.00,1968
527177.00,1969
539075.00,1970
547900.00,1971
563530.00,1972
575887.00,1973
588299.00,1974
600763.00,1975
613273.00,1976
630200.00,1977
644330.00,1978
658730.00,1979
688956.00,1980
685200.00,1981
703570.00,1982
719090.00,1983
734870.00,1984
749184.00,1985
767200.00,1986
783730.00,1987
797526.00,1988
817490.00,1989
833929.00,1990
843931.00,1991
883473.00,1992
900453.00,1993
918570.00,1994
934228.00,1995
945121.00,1996
962378.00,1997
979673.00,1998
997515.00,1999
1014003.80,2000
1027015.20,2001
,2002
,2003
,2004
1094985.00,2005
,2006
,2007
,2008
,2009
1170014.00,2010
,2011
,2012
,2013
,2014
1237985.00,2015
1304263.00,2020
1370028.00,2025
1432181.00,2030
1706951.00,2050
